Date,Open,High,Low,Close,Volume,Adj. Close*
17-Jan-06,220.00,222.60,218.60,218.60,17936,218.60
16-Jan-06,216.00,221.30,216.00,221.30,5332,221.30
13-Jan-06,214.30,218.20,214.00,218.00,12814,218.00
12-Jan-06,213.70,217.00,212.50,214.60,12830,214.60
11-Jan-06,216.50,216.90,212.50,213.70,10700,213.70
10-Jan-06,216.90,217.30,212.90,215.00,7155,215.00
9-Jan-06,216.60,219.60,212.20,214.00,10082,214.00
6-Jan-06,217.00,219.80,217.00,217.50,2253,217.50
5-Jan-06,219.00,220.70,216.10,219.40,4520,219.40
4-Jan-06,218.40,220.50,216.90,220.40,7503,220.40
3-Jan-06,218.00,221.00,215.20,216.80,9290,216.80
30-Dec-05,218.10,220.80,215.80,219.20,3451,219.20
29-Dec-05,220.00,221.90,217.60,217.60,3732,217.60
28-Dec-05,215.00,218.20,214.00,217.10,11616,217.10
27-Dec-05,213.00,216.40,212.70,216.40,16664,216.40
23-Dec-05,216.30,218.00,213.00,214.90,9203,214.90
22-Dec-05,224.00,224.00,217.80,220.00,5626,220.00
21-Dec-05,224.00,224.00,221.00,222.10,2268,222.10
20-Dec-05,222.40,222.40,219.10,222.30,11552,222.30
19-Dec-05,222.90,223.90,221.10,223.90,11345,223.90
16-Dec-05,218.10,222.60,218.10,221.00,32057,221.00
15-Dec-05,223.00,223.00,219.10,221.00,11754,221.00
14-Dec-05,224.60,224.90,222.80,223.00,11579,223.00
13-Dec-05,227.40,228.00,224.70,224.90,18844,224.90
12-Dec-05,230.00,230.00,226.60,228.00,6696,228.00
9-Dec-05,227.60,228.70,226.80,228.70,4317,228.70
8-Dec-05,231.00,231.00,227.00,229.00,8524,229.00
7-Dec-05,228.00,230.90,226.50,230.00,14650,230.00
6-Dec-05,224.00,228.00,222.80,227.40,28493,227.40
5-Dec-05,218.60,224.00,218.60,224.00,8962,224.00
2-Dec-05,221.90,222.90,219.60,220.00,9138,220.00
1-Dec-05,218.60,220.50,216.50,220.50,5778,220.50
30-Nov-05,222.00,222.00,216.00,217.40,25459,217.40
29-Nov-05,221.00,222.00,219.40,221.00,5820,221.00
28-Nov-05,222.00,225.00,220.00,222.00,8793,222.00
25-Nov-05,221.00,224.20,220.00,224.00,9067,224.00
24-Nov-05,218.90,222.00,218.90,219.50,11536,219.50
23-Nov-05,217.40,223.50,217.40,220.80,13174,220.80
22-Nov-05,216.00,218.80,215.10,218.50,24703,218.50
21-Nov-05,213.90,215.70,213.60,215.70,4557,215.70
18-Nov-05,208.10,215.50,208.10,213.90,24991,213.90
17-Nov-05,216.00,220.00,208.00,211.00,30322,211.00
16-Nov-05,216.10,217.70,213.50,216.50,14530,216.50
15-Nov-05,217.50,218.00,215.10,215.90,19328,215.90
14-Nov-05,218.00,218.90,216.00,216.00,5302,216.00
11-Nov-05,218.00,218.90,215.60,218.80,17332,218.80
10-Nov-05,218.00,218.00,215.20,215.20,7733,215.20
9-Nov-05,221.00,221.90,216.50,217.00,23523,217.00
8-Nov-05,219.70,220.40,218.00,220.00,17935,220.00
7-Nov-05,218.50,219.60,213.20,219.40,16982,219.40
4-Nov-05,217.20,219.70,216.10,217.50,14713,217.50
3-Nov-05,219.00,219.70,215.20,219.70,12771,219.70
2-Nov-05,220.00,221.00,216.00,217.60,11687,217.60
1-Nov-05,218.10,220.00,217.60,220.00,12375,220.00
31-Oct-05,216.00,220.00,216.00,219.90,11120,219.90
28-Oct-05,222.50,222.50,213.00,215.30,23900,215.30
27-Oct-05,223.50,223.50,218.70,221.60,8487,221.60
26-Oct-05,222.50,223.50,220.10,223.20,20137,223.20
25-Oct-05,221.90,223.60,219.00,221.40,38698,221.40
24-Oct-05,213.10,218.00,213.10,218.00,14377,218.00
21-Oct-05,216.00,216.00,211.10,212.50,23263,212.50
20-Oct-05,214.50,222.00,214.50,215.40,43680,215.40
19-Oct-05,223.00,225.80,213.00,214.40,79875,214.40
18-Oct-05,215.00,222.00,215.00,221.70,36649,221.70
17-Oct-05,214.80,215.00,211.10,214.50,21111,214.50
14-Oct-05,211.50,213.60,210.00,211.00,48533,211.00
13-Oct-05,214.00,217.00,209.00,211.00,36627,211.00
12-Oct-05,215.00,215.00,211.50,213.30,17366,213.30
11-Oct-05,212.50,216.50,209.30,214.30,46192,214.30
10-Oct-05,209.00,211.00,208.00,211.00,21076,211.00
7-Oct-05,209.10,210.00,207.00,208.30,19044,208.30
6-Oct-05,208.00,209.80,206.00,209.50,10398,209.50
5-Oct-05,208.90,209.90,207.10,209.90,14681,209.90
4-Oct-05,207.50,208.60,205.70,208.60,13014,208.60
3-Oct-05,205.80,207.00,204.00,207.00,6922,207.00
30-Sep-05,203.00,205.00,202.10,205.00,24004,205.00
29-Sep-05,199.00,201.80,199.00,199.80,14238,199.80
28-Sep-05,198.00,200.40,196.40,198.40,19469,198.40
27-Sep-05,202.00,202.00,199.60,200.90,26855,200.90
26-Sep-05,205.00,205.00,202.00,203.00,23002,203.00
23-Sep-05,206.50,208.80,203.40,203.40,29045,203.40
22-Sep-05,203.20,206.40,203.20,206.10,17272,206.10
21-Sep-05,207.30,207.50,203.20,203.30,19410,203.30
20-Sep-05,204.10,208.00,204.00,206.50,27887,206.50
19-Sep-05,202.50,206.50,202.50,204.80,18503,204.80
16-Sep-05,205.00,205.80,202.50,204.40,13755,204.40
15-Sep-05,202.50,205.50,202.30,202.30,4534,202.30
14-Sep-05,203.00,205.40,202.30,203.40,22723,203.40
13-Sep-05,205.00,206.00,202.80,202.80,14292,202.80
12-Sep-05,205.00,206.00,204.20,204.90,40235,204.90
9-Sep-05,203.50,207.00,203.50,205.90,8870,205.90
8-Sep-05,204.20,205.00,203.00,204.20,12817,204.20
7-Sep-05,201.50,203.80,200.90,203.80,13466,203.80
6-Sep-05,195.50,201.40,195.50,201.00,10390,201.00
5-Sep-05,198.00,199.60,196.00,196.60,3980,196.60
2-Sep-05,199.80,200.00,197.30,197.60,7565,197.60
1-Sep-05,198.00,199.70,196.90,199.70,4638,199.70
31-Aug-05,195.00,199.90,195.00,196.00,26624,196.00
30-Aug-05,193.00,198.40,192.20,194.00,7974,194.00
29-Aug-05,196.00,196.00,191.20,193.00,11996,193.00
26-Aug-05,196.50,197.80,195.50,196.50,8869,196.50
25-Aug-05,195.30,196.80,192.50,194.70,25767,194.70
24-Aug-05,198.00,198.00,195.90,195.90,17382,195.90
23-Aug-05,200.00,200.00,197.70,197.70,14611,197.70
22-Aug-05,201.00,202.00,199.50,200.00,8669,200.00
19-Aug-05,202.50,202.50,200.40,200.50,9772,200.50
18-Aug-05,201.00,202.00,199.60,201.60,9206,201.60
17-Aug-05,200.00,203.00,199.80,203.00,13431,203.00
16-Aug-05,201.50,202.50,200.20,201.20,35796,201.20
15-Aug-05,202.00,202.00,200.00,200.80,25261,200.80
12-Aug-05,202.00,202.40,199.50,202.00,15572,202.00
11-Aug-05,203.00,203.00,201.00,201.90,8253,201.90
10-Aug-05,201.90,204.50,201.90,203.50,23137,203.50
9-Aug-05,201.00,201.80,199.20,201.80,15194,201.80
8-Aug-05,199.90,201.90,198.60,201.50,18064,201.50
5-Aug-05,200.90,200.90,199.00,199.90,3134,199.90
4-Aug-05,198.00,201.00,198.00,200.00,23550,200.00
3-Aug-05,197.00,200.00,195.10,199.00,45516,199.00
2-Aug-05,196.00,198.50,196.00,198.50,42732,198.50
1-Aug-05,196.00,196.10,195.40,195.60,4079,195.60
29-Jul-05,196.20,196.90,195.70,195.70,9580,195.70
28-Jul-05,195.90,196.20,195.00,196.20,11998,196.20
27-Jul-05,193.10,196.80,193.10,194.70,9094,194.70
26-Jul-05,194.30,195.20,192.50,193.20,24712,193.20
25-Jul-05,190.30,194.00,190.30,194.00,7096,194.00
22-Jul-05,192.00,193.00,191.50,191.70,5659,191.70
21-Jul-05,193.00,194.70,191.80,191.90,42336,191.90
20-Jul-05,190.00,193.30,190.00,192.90,50547,192.90
19-Jul-05,188.40,189.00,187.10,188.00,30851,188.00
18-Jul-05,187.60,188.50,186.50,188.00,15421,188.00
15-Jul-05,185.50,187.50,185.20,186.90,26540,186.90
14-Jul-05,183.30,185.20,183.20,185.20,50908,185.20
13-Jul-05,181.60,184.70,181.60,183.70,29007,183.70
12-Jul-05,184.00,184.90,181.60,181.60,16623,181.60
11-Jul-05,183.80,185.00,183.50,183.50,19631,183.50
8-Jul-05,182.00,183.80,182.00,183.80,9500,183.80
7-Jul-05,183.00,184.20,177.10,179.30,26327,179.30
6-Jul-05,182.00,184.00,180.10,184.00,7758,184.00
5-Jul-05,181.50,182.90,181.50,182.90,6371,182.90
4-Jul-05,182.50,183.00,180.00,182.00,3979,182.00
1-Jul-05,181.50,182.50,180.20,182.50,1649,182.50
30-Jun-05,180.50,183.10,178.40,182.50,16546,182.50
29-Jun-05,180.70,180.70,179.00,180.60,8869,180.60
28-Jun-05,180.00,180.90,176.50,177.40,12616,177.40
27-Jun-05,176.80,179.80,176.00,178.90,5211,178.90
24-Jun-05,180.00,182.00,177.60,178.50,20621,178.50
23-Jun-05,181.70,183.20,180.10,183.20,21561,183.20
22-Jun-05,180.00,183.00,179.90,182.50,18381,182.50
21-Jun-05,177.00,180.00,177.00,179.00,25985,179.00
20-Jun-05,176.90,177.70,174.20,177.00,19023,177.00
17-Jun-05,178.30,179.00,177.00,178.10,3760,178.10
16-Jun-05,179.00,181.40,178.20,178.20,8350,178.20
15-Jun-05,177.10,181.00,177.10,178.00,6785,178.00
14-Jun-05,180.00,180.00,178.50,179.00,13435,179.00
13-Jun-05,179.80,181.30,176.00,179.60,18942,179.60
10-Jun-05,177.10,180.00,177.10,179.00,8178,179.00
9-Jun-05,178.50,179.80,177.10,179.40,21758,179.40
8-Jun-05,183.80,183.80,176.50,178.50,30257,178.50
7-Jun-05,184.00,184.10,180.70,184.00,12364,184.00
6-Jun-05,184.00,184.70,183.50,184.00,2459,184.00
3-Jun-05,184.90,184.90,181.00,184.50,20106,184.50
2-Jun-05,183.00,184.90,183.00,184.90,25178,184.90
1-Jun-05,180.00,184.00,180.00,184.00,30487,184.00
31-May-05,181.90,182.00,180.50,180.90,21296,180.90
30-May-05,180.90,181.90,179.60,181.90,15130,181.90
27-May-05,179.00,181.30,179.00,180.40,31151,180.40
26-May-05,178.10,179.00,178.00,178.90,19191,178.90
25-May-05,177.90,178.30,177.00,178.30,14915,178.30
24-May-05,175.30,178.00,175.20,177.90,39821,177.90
23-May-05,173.00,174.20,172.00,174.00,15549,174.00
20-May-05,171.50,173.40,171.30,173.40,18923,173.40
19-May-05,171.00,173.00,171.00,172.50,63164,172.50
18-May-05,170.00,171.00,169.90,171.00,24129,171.00
17-May-05,168.40,170.60,167.50,169.70,27220,169.70
13-May-05,167.70,168.40,166.50,167.20,9324,167.20
12-May-05,166.50,167.60,165.30,167.00,10258,167.00
11-May-05,166.00,166.00,164.00,166.00,10990,166.00
10-May-05,168.00,169.00,166.00,166.00,40755,166.00
9-May-05,168.00,168.90,167.50,167.60,10136,167.60
6-May-05,168.90,169.00,167.60,168.00,15836,168.00
4-May-05,166.20,168.90,166.20,168.30,13191,168.30
3-May-05,165.00,167.50,165.00,167.50,42250,167.50
29-Apr-05,166.00,167.10,166.00,167.00,10003,167.00
28-Apr-05,167.50,167.50,166.70,167.00,18202,167.00
27-Apr-05,166.50,167.70,166.10,167.00,24553,167.00
26-Apr-05,165.00,167.20,165.00,167.20,28263,167.20
25-Apr-05,164.90,164.90,163.00,163.30,21016,163.30
22-Apr-05,165.40,165.40,163.00,163.50,25800,163.50
21-Apr-05,162.00,163.80,160.30,163.80,25731,163.80
20-Apr-05,166.50,167.90,161.20,161.20,13281,161.20
19-Apr-05,160.60,167.00,159.40,167.00,43499,167.00
18-Apr-05,160.00,160.40,157.90,159.00,41737,159.00
15-Apr-05,153.00,162.80,153.00,161.30,49505,161.30
14-Apr-05,150.60,152.70,150.30,152.70,13905,152.70
13-Apr-05,153.00,153.00,150.00,151.00,4983,151.00
12-Apr-05,152.10,153.00,150.50,150.50,10944,150.50
11-Apr-05,152.00,153.60,152.00,152.10,3489,152.10
8-Apr-05,155.00,155.00,153.50,154.00,3092,154.00
7-Apr-05,153.00,153.80,152.20,153.40,21465,153.40
6-Apr-05,149.60,153.00,149.60,153.00,40352,153.00
